iter	Passed	Remaining
0	64	64770
1	67	33644
2	70	23533
3	74	18461
4	77	15505
5	81	13421
6	84	11972
7	86	10773
8	90	10001
9	93	9289
10	97	8732
11	99	8227
12	103	7883
13	106	7507
14	109	7195
15	113	6975
16	116	6719
17	120	6564
18	122	6348
19	126	6217
20	130	6061
21	142	6321
22	145	6161
23	147	5996
24	151	5892
25	153	5754
26	156	5641
27	159	5532
28	161	5421
29	164	5320
30	166	5194
31	167	5076
32	170	4983
33	171	4879
34	173	4781
35	175	4689
36	177	4606
37	178	4522
38	180	4447
39	182	4372
40	183	4302
41	185	4233
42	187	4168
43	189	4116
44	191	4060
45	193	4003
46	195	3956
47	196	3903
48	198	3852
49	200	3806
50	202	3762
51	203	3717
52	205	3672
53	207	3632
54	209	3593
55	210	3552
56	212	3513
57	214	3481
58	216	3445
59	217	3412
60	219	3386
61	221	3354
62	223	3322
63	225	3291
64	226	3264
65	228	3235
66	230	3207
67	232	3179
68	233	3154
69	235	3128
70	237	3104
71	239	3082
72	240	3058
73	242	3034
74	244	3011
75	246	2991
76	247	2968
77	249	2947
78	251	2926
79	252	2906
80	254	2886
81	256	2868
82	258	2851
83	259	2832
84	261	2815
85	263	2796
86	265	2782
87	266	2764
88	268	2747
89	270	2731
90	271	2716
91	273	2700
92	275	2687
93	277	2672
94	279	2658
95	280	2644
96	282	2629
97	284	2615
98	285	2600
99	287	2587
100	289	2574
101	290	2561
102	292	2548
103	294	2535
104	295	2522
105	297	2510
106	299	2497
107	301	2487
108	303	2477
109	304	2467
110	306	2457
111	308	2447
112	310	2438
113	312	2428
114	314	2419
115	316	2411
116	318	2402
117	320	2394
118	322	2385
119	324	2377
120	326	2369
121	328	2361
122	330	2355
123	332	2347
124	334	2341
125	336	2333
126	338	2325
127	340	2317
128	342	2310
129	344	2304
130	346	2298
131	348	2292
132	351	2290
133	354	2288
134	357	2289
135	361	2294
136	372	2344
137	375	2347
138	380	2355
139	384	2364
140	388	2366
141	392	2372
142	397	2380
143	400	2378
144	403	2381
145	407	2381
146	414	2405
147	419	2415
